"Protein","Protein Description"
"XP_020621253.1","LOW QUALITY PROTEIN: ATP-binding cassette sub-family A member 5-like [Orbicella faveolata]"
"XP_020621261.1","peroxisomal membrane protein 11A-like [Orbicella faveolata]"
"XP_020621265.1","nuclear receptor coactivator 7-like isoform X1 [Orbicella faveolata]"
"XP_020621268.1","28 kDa heat- and acid-stable phosphoprotein-like isoform X1 [Orbicella faveolata]"
"XP_020621270.1","Niemann-Pick C1 protein-like [Orbicella faveolata]"
"XP_020621271.1","Niemann-Pick C1 protein-like [Orbicella faveolata]"
"XP_020621273.1","cytosolic endo-beta-N-acetylglucosaminidase-like [Orbicella faveolata]"
"XP_020621276.1","Niemann-Pick C1 protein-like [Orbicella faveolata]"
"XP_020621283.1","tyrosyl-DNA phosphodiesterase 2-like [Orbicella faveolata]"
"XP_020621287.1","liver carboxylesterase-like [Orbicella faveolata]"
"XP_020621288.1","cholinesterase 1-like, partial [Orbicella faveolata]"
"XP_020621290.1","dynactin subunit 5-like, partial [Orbicella faveolata]"
"XP_020621292.1","galactokinase-like [Orbicella faveolata]"
"XP_020621297.1","cytochrome P450 3A24-like [Orbicella faveolata]"
"XP_020621298.1","peroxidasin-like isoform X1 [Orbicella faveolata]"
"XP_020621302.1","BTB/POZ domain-containing protein KCTD5-like [Orbicella faveolata]"
"XP_020621304.1","uncharacterized protein LOC110058977 [Orbicella faveolata]"
"XP_020621322.1","la-related protein 6-like [Orbicella faveolata]"
"XP_020621332.1","alpha-N-acetylgalactosaminidase-like [Orbicella faveolata]"
"XP_020621342.1","cilia- and flagella-associated protein 161-like [Orbicella faveolata]"
"XP_020621347.1","uncharacterized protein LOC110059021 isoform X1 [Orbicella faveolata]"
"XP_020621349.1","uncharacterized protein LOC110059023, partial [Orbicella faveolata]"
"XP_020621350.1","uncharacterized protein LOC110059024 isoform X1 [Orbicella faveolata]"
"XP_020621356.1","osteoclast-stimulating factor 1-like [Orbicella faveolata]"
"XP_020621375.1","uncharacterized protein LOC110059041 [Orbicella faveolata]"
"XP_020621400.1","uncharacterized protein LOC110059061 [Orbicella faveolata]"
"XP_020621404.1","uncharacterized protein LOC110059067 isoform X1 [Orbicella faveolata]"
"XP_020621407.1","neuronal pentraxin-1-like [Orbicella faveolata]"
"XP_020621410.1","1,4-alpha-glucan-branching enzyme-like [Orbicella faveolata]"
"XP_020621411.1","uncharacterized protein LOC110059072 [Orbicella faveolata]"
"XP_020621415.1","kinesin-like protein KIF27 [Orbicella faveolata]"
"XP_020621418.1","uncharacterized protein LOC110059081, partial [Orbicella faveolata]"
"XP_020621436.1","actin-like protein 6A [Orbicella faveolata]"
"XP_020621437.1","uncharacterized protein LOC110059095 [Orbicella faveolata]"
"XP_020621449.1","cytoplasmic dynein 1 light intermediate chain 2-like [Orbicella faveolata]"
"XP_020621451.1","uncharacterized protein LOC110059110 isoform X1 [Orbicella faveolata]"
"XP_020621457.1","collagen alpha-5(IV) chain-like [Orbicella faveolata]"
"XP_020621460.1","adhesion G protein-coupled receptor L3-like [Orbicella faveolata]"
"XP_020621461.1","beta-1,3-galactosyltransferase 5-like [Orbicella faveolata]"
"XP_020621468.1","calumenin-like [Orbicella faveolata]"
"XP_020621471.1","epsin-2-like [Orbicella faveolata]"
"XP_020621472.1","ADP-dependent glucokinase-like [Orbicella faveolata]"
"XP_020621474.1","beta-1,3-galactosyltransferase 5-like [Orbicella faveolata]"
"XP_020621477.1","calumenin-like [Orbicella faveolata]"
"XP_020621480.1","uncharacterized protein LOC110059139 isoform X1 [Orbicella faveolata]"
"XP_020621483.1","collagen alpha-1(XXV) chain-like [Orbicella faveolata]"
"XP_020621485.1","UDP-glucuronosyltransferase 2B19-like [Orbicella faveolata]"
"XP_020621488.1","calumenin-like [Orbicella faveolata]"
"XP_020621495.1","sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like [Orbicella faveolata]"
"XP_020621497.1","uncharacterized protein LOC110059151 isoform X1 [Orbicella faveolata]"
"XP_020621501.1","UDP-glucuronosyltransferase 2B10-like [Orbicella faveolata]"
"XP_020621502.1","uncharacterized protein LOC110059154 [Orbicella faveolata]"
"XP_020621503.1","hydramacin-1-like [Orbicella faveolata]"
"XP_020621506.1","serine/threonine-protein kinase SIK1-like isoform X1 [Orbicella faveolata]"
"XP_020621520.1","cell wall protein RBR3-like [Orbicella faveolata]"
"XP_020621533.1","protein phosphatase 1 regulatory subunit 37-like [Orbicella faveolata]"
"XP_020621534.1","E3 ubiquitin-protein ligase HECTD1-like [Orbicella faveolata]"
"XP_020621538.1","uncharacterized protein LOC110059181 [Orbicella faveolata]"
"XP_020621542.1","uncharacterized protein LOC110059184 [Orbicella faveolata]"
"XP_020621548.1","very long-chain specific acyl-CoA dehydrogenase, mitochondrial-like [Orbicella faveolata]"
"XP_020621566.1","dual serine/threonine and tyrosine protein kinase-like, partial [Orbicella faveolata]"
"XP_020621572.1","ubiquitin carboxyl-terminal hydrolase 25-like [Orbicella faveolata]"
"XP_020621584.1","uncharacterized protein LOC110059226 [Orbicella faveolata]"
"XP_020621590.1","L-rhamnose-binding lectin SML-like [Orbicella faveolata]"
"XP_020621591.1","UDP-glucuronosyltransferase 2B37-like [Orbicella faveolata]"
"XP_020621592.1","uncharacterized protein LOC110059232 [Orbicella faveolata]"
"XP_020621593.1","peripheral plasma membrane protein CASK-like isoform X1 [Orbicella faveolata]"
"XP_020621597.1","nuclear receptor subfamily 2 group F member 1-B-like [Orbicella faveolata]"
"XP_020621600.1","tubulin-specific chaperone cofactor E-like protein [Orbicella faveolata]"
"XP_020621601.1","phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1-like isoform X1 [Orbicella faveolata]"
"XP_020621606.1","calsequestrin-1-like [Orbicella faveolata]"
"XP_020621611.1","dual serine/threonine and tyrosine protein kinase-like isoform X1 [Orbicella faveolata]"
"XP_020621612.1","dual serine/threonine and tyrosine protein kinase-like isoform X2 [Orbicella faveolata]"
"XP_020621615.1","breast cancer metastasis-suppressor 1-like protein-A [Orbicella faveolata]"
"XP_020621616.1","barrier-to-autointegration factor-like [Orbicella faveolata]"
"XP_020621617.1","serine/threonine-protein kinase SIK3-like [Orbicella faveolata]"
"XP_020621620.1","calpain-5-like [Orbicella faveolata]"
"XP_020621622.1","mitochondrial import receptor subunit TOM40 homolog [Orbicella faveolata]"
"XP_020621623.1","zinc finger protein ZPR1-like [Orbicella faveolata]"
"XP_020621625.1","profilin isoform X1 [Orbicella faveolata]"
"XP_020621627.1","uncharacterized protein LOC110059265 [Orbicella faveolata]"
"XP_020621628.1","very long-chain specific acyl-CoA dehydrogenase, mitochondrial-like [Orbicella faveolata]"
"XP_020621630.1","porphobilinogen deaminase-like [Orbicella faveolata]"
"XP_020621632.1","transmembrane protein 147-like [Orbicella faveolata]"
"XP_020621637.1","uncharacterized protein LOC110059275 [Orbicella faveolata]"
"XP_020621638.1","dual serine/threonine and tyrosine protein kinase-like [Orbicella faveolata]"
"XP_020621639.1","acid phosphatase type 7-like [Orbicella faveolata]"
"XP_020621640.1","peflin-like [Orbicella faveolata]"
"XP_020621641.1","uncharacterized protein LOC110059282 [Orbicella faveolata]"
"XP_020621651.1","laccase-2-like [Orbicella faveolata]"
"XP_020621659.1","UDP-glucuronosyltransferase 2B17-like [Orbicella faveolata]"
"XP_020621661.1","hydroxyethylthiazole kinase-like [Orbicella faveolata]"
"XP_020621673.1","uncharacterized protein LOC110059317 [Orbicella faveolata]"
"XP_020621674.1","uncharacterized protein LOC110059319 [Orbicella faveolata]"
"XP_020621676.1","cytochrome P450 3A2-like [Orbicella faveolata]"
"XP_020621680.1","uncharacterized protein LOC110059325 [Orbicella faveolata]"
"XP_020621681.1","uncharacterized protein LOC110059326 [Orbicella faveolata]"
"XP_020621683.1","cytochrome P450 27C1-like [Orbicella faveolata]"
"XP_020621686.1","cartilage oligomeric matrix protein-like [Orbicella faveolata]"
"XP_020621688.1","uncharacterized protein LOC110059337, partial [Orbicella faveolata]"
"XP_020621689.1","leucine-rich repeat-containing protein let-4-like, partial [Orbicella faveolata]"
"XP_020621694.1","solute carrier family 15 member 4-like [Orbicella faveolata]"
"XP_020621697.1","solute carrier family 15 member 4-like [Orbicella faveolata]"
"XP_020621699.1","nuclear pore complex protein Nup133-like [Orbicella faveolata]"
"XP_020621700.1","eukaryotic translation initiation factor 4E-1A-like [Orbicella faveolata]"
"XP_020621701.1","sushi repeat-containing protein SRPX-like [Orbicella faveolata]"
"XP_020621705.1","leucine-rich repeat-containing protein 28-like isoform X1 [Orbicella faveolata]"
"XP_020621711.1","cartilage oligomeric matrix protein-like [Orbicella faveolata]"
"XP_020621714.1","LOW QUALITY PROTEIN: dmX-like protein 2 [Orbicella faveolata]"
"XP_020621718.1","solute carrier family 15 member 4-like [Orbicella faveolata]"
"XP_020621721.1","sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like [Orbicella faveolata]"
"XP_020621743.1","decapping and exoribonuclease protein-like [Orbicella faveolata]"
"XP_020621744.1","decapping and exoribonuclease protein-like [Orbicella faveolata]"
"XP_020621749.1","putative tyrosinase-like protein tyr-3 [Orbicella faveolata]"
"XP_020621759.1","stress response protein NST1-like [Orbicella faveolata]"
"XP_020621768.1","coiled-coil domain-containing protein 105-like isoform X1 [Orbicella faveolata]"
"XP_020621791.1","patatin-like phospholipase domain-containing protein 7 [Orbicella faveolata]"
"XP_020621797.1","golgin subfamily A member 2-like [Orbicella faveolata]"
"XP_020621799.1","LOW QUALITY PROTEIN: vacuolar protein sorting-associated protein 13A-like [Orbicella faveolata]"
"XP_020621802.1","myocyte-specific enhancer factor 2C-like isoform X1 [Orbicella faveolata]"
"XP_020621804.1","uncharacterized protein LOC110059453 [Orbicella faveolata]"
"XP_020621806.1","uncharacterized protein LOC110059455 isoform X1 [Orbicella faveolata]"
"XP_020621808.1","ninein-like protein isoform X1 [Orbicella faveolata]"
"XP_020621814.1","ninein-like protein [Orbicella faveolata]"
"XP_020621819.1","uncharacterized protein LOC110059467 [Orbicella faveolata]"
"XP_020621821.1","L-rhamnose-binding lectin CSL3-like [Orbicella faveolata]"
"XP_020621822.1","probable glycosyltransferase STELLO1 [Orbicella faveolata]"
"XP_020621825.1","carboxypeptidase B-like [Orbicella faveolata]"
"XP_020621826.1","carboxypeptidase B-like [Orbicella faveolata]"
"XP_020621829.1","carboxypeptidase B-like [Orbicella faveolata]"
"XP_020621832.1","uncharacterized protein C1orf50-like [Orbicella faveolata]"
"XP_020621835.1","pre-mRNA 3' end processing protein WDR33-like [Orbicella faveolata]"
"XP_020621840.1","translocation protein SEC62-like [Orbicella faveolata]"
"XP_020621841.1","guanylate-binding protein 3-like [Orbicella faveolata]"
"XP_020621843.1","calcium-dependent secretion activator 1-like [Orbicella faveolata]"
"XP_020621844.1","uncharacterized protein LOC110059492 [Orbicella faveolata]"
"XP_020621847.1","constitutive coactivator of PPAR-gamma-like protein 1 homolog isoform X1 [Orbicella faveolata]"
"XP_020621849.1","uncharacterized protein C1orf194 homolog [Orbicella faveolata]"
"XP_020621853.1","chromodomain-helicase-DNA-binding protein 5-like isoform X1 [Orbicella faveolata]"
"XP_020621859.1","RNA polymerase II subunit A C-terminal domain phosphatase SSU72-like [Orbicella faveolata]"
"XP_020621867.1","fibronectin type III domain-containing protein-like [Orbicella faveolata]"
"XP_020621868.1","fibronectin type III domain-containing protein-like [Orbicella faveolata]"
"XP_020621870.1","uncharacterized protein LOC110059514 [Orbicella faveolata]"
"XP_020621874.1","lipoma-preferred partner homolog [Orbicella faveolata]"
"XP_020621877.1","tyrosine-protein phosphatase non-receptor type 11-like [Orbicella faveolata]"
"XP_020621878.1","filamin-A-like isoform X1 [Orbicella faveolata]"
"XP_020621883.1","transketolase-like [Orbicella faveolata]"
"XP_020621889.1","uncharacterized protein LOC110059526 isoform X1 [Orbicella faveolata]"
"XP_020621891.1","cationic amino acid transporter 2-like isoform X1 [Orbicella faveolata]"
"XP_020621898.1","tumor protein p63-regulated gene 1-like protein isoform X1 [Orbicella faveolata]"
"XP_020621900.1","silk gland factor 3-like [Orbicella faveolata]"
"XP_020621903.1","sarcolemmal membrane-associated protein-like [Orbicella faveolata]"
"XP_020621908.1","uncharacterized protein LOC110059540 isoform X1 [Orbicella faveolata]"
"XP_020621910.1","uncharacterized protein LOC110059541 [Orbicella faveolata]"
"XP_020621917.1","6-phosphogluconate dehydrogenase, decarboxylating-like [Orbicella faveolata]"
"XP_020621919.1","BTB/POZ domain-containing protein 6-like [Orbicella faveolata]"
"XP_020621920.1","translocon-associated protein subunit gamma-like [Orbicella faveolata]"
"XP_020621925.1","synaptotagmin-14-like [Orbicella faveolata]"
"XP_020621928.1","hemicentin-1-like isoform X1 [Orbicella faveolata]"
"XP_020621935.1","probable glycosyltransferase STELLO1 [Orbicella faveolata]"
"XP_020621943.1","mannosyl-oligosaccharide 1,2-alpha-mannosidase IA-like [Orbicella faveolata]"
"XP_020621946.1","mycophenolic acid acyl-glucuronide esterase, mitochondrial-like isoform X1 [Orbicella faveolata]"
"XP_020621960.1","antho-RFamide neuropeptides type 2-like [Orbicella faveolata]"
"XP_020621961.1","uncharacterized protein LOC110059583 isoform X1 [Orbicella faveolata]"
"XP_020621974.1","trafficking protein particle complex subunit 3-like [Orbicella faveolata]"
"XP_020621977.1","putative glutamate synthase [NADPH] [Orbicella faveolata]"
"XP_020621980.1","zinc metalloproteinase nas-13-like [Orbicella faveolata]"
"XP_020621984.1","prostaglandin reductase 2-like [Orbicella faveolata]"
"XP_020621985.1","poly [ADP-ribose] polymerase 4-like [Orbicella faveolata]"
"XP_020621986.1","uncharacterized protein LOC110059601 [Orbicella faveolata]"
"XP_020621989.1","proteasomal ATPase-associated factor 1-like [Orbicella faveolata]"
"XP_020621991.1","probable caffeoyl-CoA O-methyltransferase 2 [Orbicella faveolata]"
"XP_020621992.1","pre-mRNA-splicing regulator WTAP-like [Orbicella faveolata]"
"XP_020621995.1","NF-kappa-B inhibitor-interacting Ras-like protein 2, partial [Orbicella faveolata]"
"XP_020621996.1","THO complex subunit 1-like [Orbicella faveolata]"
"XP_020622004.1","intraflagellar transport protein 88 homolog [Orbicella faveolata]"
"XP_020622009.1","lysine-specific histone demethylase 1A-like isoform X1 [Orbicella faveolata]"
"XP_020622011.1","transmembrane protein 181-like [Orbicella faveolata]"
"XP_020622012.1","elongation factor Ts, mitochondrial-like [Orbicella faveolata]"
"XP_020622016.1","microsomal glutathione S-transferase 3-like [Orbicella faveolata]"
"XP_020622018.1","serine/arginine repetitive matrix protein 1-like isoform X1 [Orbicella faveolata]"
"XP_020622020.1","bifunctional purine biosynthesis protein PURH-like [Orbicella faveolata]"
"XP_020622021.1","intraflagellar transport protein 88 homolog [Orbicella faveolata]"
"XP_020622028.1","leucine-rich repeat serine/threonine-protein kinase 1-like isoform X1 [Orbicella faveolata]"
"XP_020622030.1","uncharacterized protein LOC110059646 [Orbicella faveolata]"
"XP_020622037.1","dnaJ homolog subfamily B member 4-like [Orbicella faveolata]"
"XP_020622039.1","coadhesin-like [Orbicella faveolata]"
"XP_020622041.1","probable caffeoyl-CoA O-methyltransferase 2 [Orbicella faveolata]"
"XP_020622042.1","cystatin-B-like [Orbicella faveolata]"
"XP_020622048.1","pre-mRNA-splicing regulator WTAP-like isoform X1 [Orbicella faveolata]"
"XP_020622050.1","uncharacterized protein LOC110059664 [Orbicella faveolata]"
"XP_020622053.1","coiled-coil domain-containing protein 58-like [Orbicella faveolata]"
"XP_020622059.1","calcipressin-1-like [Orbicella faveolata]"
"XP_020622062.1","ammonium transporter Rh type B-like [Orbicella faveolata]"
"XP_020622066.1","cysteine and histidine-rich domain-containing protein 1-like [Orbicella faveolata]"
"XP_020622067.1","T-lymphoma invasion and metastasis-inducing protein 1-like [Orbicella faveolata]"
"XP_020622076.1","guanine nucleotide-binding protein G(o) subunit alpha-like [Orbicella faveolata]"
"XP_020622081.1","WD repeat-containing protein 59-like [Orbicella faveolata]"
"XP_020622084.1","ataxin-3-like [Orbicella faveolata]"
"XP_020622098.1","GPI transamidase component PIG-T-like [Orbicella faveolata]"
"XP_020622103.1","DENN domain-containing protein 3-like [Orbicella faveolata]"
"XP_020622111.1","protein phosphatase 1 regulatory subunit 12C-like, partial [Orbicella faveolata]"
"XP_020622113.1","E3 ubiquitin-protein ligase MIB1-like [Orbicella faveolata]"
"XP_020622114.1","nuclear pore complex protein Nup133-like [Orbicella faveolata]"
"XP_020622122.1","tyrosine-protein kinase receptor Tie-1-like isoform X1 [Orbicella faveolata]"
"XP_020622127.1","stimulator of interferon genes protein-like isoform X1 [Orbicella faveolata]"
"XP_020622129.1","CCR4-NOT transcription complex subunit 10-like [Orbicella faveolata]"
"XP_020622133.1","stimulator of interferon genes protein-like isoform X2 [Orbicella faveolata]"
"XP_020622136.1","hydroxyacylglutathione hydrolase, mitochondrial-like [Orbicella faveolata]"
"XP_020622138.1","uncharacterized protein LOC110059758 isoform X1 [Orbicella faveolata]"
"XP_020622141.1","stimulator of interferon genes protein-like isoform X3 [Orbicella faveolata]"
"XP_020622148.1","acylpyruvase FAHD1, mitochondrial-like [Orbicella faveolata]"
"XP_020622155.1","EF-hand calcium-binding domain-containing protein 5-like [Orbicella faveolata]"
"XP_020622164.1","uncharacterized protein LOC110059783 isoform X1 [Orbicella faveolata]"
"XP_020622166.1","pyruvate dehydrogenase E1 component subunit alpha, mitochondrial-like isoform X1 [Orbicella faveolata]"
"XP_020622171.1","U6 snRNA phosphodiesterase-like [Orbicella faveolata]"
"XP_020622174.1","uncharacterized protein LOC110059791 [Orbicella faveolata]"
"XP_020622176.1","NHL repeat-containing protein 2-like [Orbicella faveolata]"
"XP_020622178.1","translocon-associated protein subunit alpha-like [Orbicella faveolata]"
"XP_020622186.1","NEDD8 [Orbicella faveolata]"
"XP_020622190.1","U4/U6 small nuclear ribonucleoprotein Prp3-like isoform X1 [Orbicella faveolata]"
"XP_020622192.1","flap endonuclease 1-like [Orbicella faveolata]"
"XP_020622194.1","alcohol dehydrogenase [NADP(+)]-like isoform X1 [Orbicella faveolata]"
"XP_020622195.1","alcohol dehydrogenase [NADP(+)]-like isoform X2 [Orbicella faveolata]"
"XP_020622196.1","uncharacterized protein LOC110059813 [Orbicella faveolata]"
"XP_020622200.1","uncharacterized protein LOC110059815 isoform X1 [Orbicella faveolata]"
"XP_020622213.1","LOW QUALITY PROTEIN: FH1/FH2 domain-containing protein 3-like [Orbicella faveolata]"
"XP_020622215.1","protein bark beetle-like [Orbicella faveolata]"
"XP_020622220.1","TGF-beta-activated kinase 1 and MAP3K7-binding protein 2-like [Orbicella faveolata]"
"XP_020622221.1","alcohol dehydrogenase [NADP(+)]-like [Orbicella faveolata]"
"XP_020622222.1","alcohol dehydrogenase [NADP(+)] A-like, partial [Orbicella faveolata]"
"XP_020622226.1","peroxiredoxin 1-like [Orbicella faveolata]"
"XP_020622227.1","uncharacterized protein LOC110059845 [Orbicella faveolata]"
"XP_020622228.1","dipeptidase 1-like [Orbicella faveolata]"
"XP_020622229.1","dipeptidase 1-like isoform X1 [Orbicella faveolata]"
"XP_020622234.1","beta-arrestin-1-like [Orbicella faveolata]"
"XP_020622235.1","homogentisate 1,2-dioxygenase-like [Orbicella faveolata]"
"XP_020622240.1","probable E3 ubiquitin ligase complex SCF subunit scon-2 [Orbicella faveolata]"
"XP_020622241.1","nuclear migration protein nudC-like [Orbicella faveolata]"
"XP_020622249.1","uncharacterized protein LOC110059872 [Orbicella faveolata]"
"XP_020622257.1","uncharacterized protein LOC110059879 [Orbicella faveolata]"
"XP_020622267.1","mucin-5AC-like, partial [Orbicella faveolata]"
"XP_020622268.1","fermitin family homolog 2-like [Orbicella faveolata]"
"XP_020622269.1","uncharacterized protein LOC110059893 [Orbicella faveolata]"
"XP_020622271.1","splicing factor 3B subunit 4-like [Orbicella faveolata]"
"XP_020622278.1","uncharacterized protein LOC110059905 [Orbicella faveolata]"
"XP_020622281.1","probable phospholipid-transporting ATPase IF isoform X1 [Orbicella faveolata]"
"XP_020622283.1","uncharacterized protein LOC110059909 [Orbicella faveolata]"
"XP_020622284.1","acid phosphatase type 7-like [Orbicella faveolata]"
"XP_020622286.1","aflatoxin B1 aldehyde reductase member 2-like [Orbicella faveolata]"
"XP_020622288.1","glutamic acid-rich protein-like [Orbicella faveolata]"
"XP_020622289.1","intraflagellar transport protein 172 homolog [Orbicella faveolata]"
"XP_020622290.1","solute carrier family 15 member 4-like [Orbicella faveolata]"
"XP_020622296.1","LOW QUALITY PROTEIN: uncharacterized transporter C18H10.16-like [Orbicella faveolata]"
"XP_020622297.1","negative elongation factor A-like [Orbicella faveolata]"
"XP_020622298.1","ectin-like [Orbicella faveolata]"
"XP_020622299.1","ectin-like [Orbicella faveolata]"
"XP_020622300.1","5'-AMP-activated protein kinase subunit beta-2-like [Orbicella faveolata]"
"XP_020622302.1","basic phospholipase A2 DE-1-like [Orbicella faveolata]"
"XP_020622303.1","neutral phospholipase A2 3-like [Orbicella faveolata]"
"XP_020622304.1","DNA-(apurinic or apyrimidinic site) lyase-like, partial [Orbicella faveolata]"
"XP_020622307.1","ectonucleoside triphosphate diphosphohydrolase 1-like [Orbicella faveolata]"
"XP_020622311.1","uncharacterized protein LOC110059938 [Orbicella faveolata]"
"XP_020622318.1","sphingomyelin phosphodiesterase-like [Orbicella faveolata]"
"XP_020622320.1","uncharacterized protein LOC110059946 isoform X1 [Orbicella faveolata]"
"XP_020622328.1","serine/arginine repetitive matrix protein 2-like [Orbicella faveolata]"
"XP_020622330.1","LOW QUALITY PROTEIN: calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type-like [Orbicella faveolata]"
"XP_020622332.1","carboxypeptidase D-like [Orbicella faveolata]"
"XP_020622334.1","AH receptor-interacting protein-like [Orbicella faveolata]"
"XP_020622348.1","conserved oligomeric Golgi complex subunit 8-like [Orbicella faveolata]"
"XP_020622351.1","pseudouridylate synthase 7 homolog [Orbicella faveolata]"
"XP_020622355.1","quinone oxidoreductase PIG3-like [Orbicella faveolata]"
"XP_020622356.1","uncharacterized protein LOC110059976 [Orbicella faveolata]"
"XP_020622359.1","intraflagellar transport protein 172 homolog [Orbicella faveolata]"
"XP_020622360.1","all-trans retinoic acid-induced differentiation factor-like isoform X1 [Orbicella faveolata]"
"XP_020622370.1","helicase SRCAP-like [Orbicella faveolata]"
"XP_020622376.1","uncharacterized protein LOC110059996 [Orbicella faveolata]"
"XP_020622377.1","CUE domain-containing protein 1-like [Orbicella faveolata]"
"XP_020622379.1","acetoacetyl-CoA synthetase-like [Orbicella faveolata]"
"XP_020622380.1","beta-ureidopropionase-like isoform X1 [Orbicella faveolata]"
"XP_020622386.1","syntaxin-1A-like [Orbicella faveolata]"
"XP_020622387.1","GTP-binding nuclear protein Ran [Orbicella faveolata]"
"XP_020622389.1","ectonucleoside triphosphate diphosphohydrolase 1-like [Orbicella faveolata]"
"XP_020622392.1","phosphoenolpyruvate phosphomutase isoform X1 [Orbicella faveolata]"
"XP_020622396.1","aflatoxin B1 aldehyde reductase member 4-like [Orbicella faveolata]"
"XP_020622397.1","TRPL translocation defect protein 14-like [Orbicella faveolata]"
"XP_020622398.1","actin-related protein 2/3 complex subunit 3-like [Orbicella faveolata]"
"XP_020622399.1","endothelin-converting enzyme homolog isoform X1 [Orbicella faveolata]"
"XP_020622402.1","endothelin-converting enzyme 1-like isoform X3 [Orbicella faveolata]"
"XP_020622405.1","endothelin-converting enzyme homolog isoform X4 [Orbicella faveolata]"
"XP_020622406.1","phospholipase D1-like isoform X1 [Orbicella faveolata]"
"XP_020622408.1","1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon-like [Orbicella faveolata]"
"XP_020622414.1","uncharacterized protein LOC110059699, partial [Orbicella faveolata]"
"XP_020622424.1","mucin-2-like [Orbicella faveolata]"
"XP_020622431.1","peptidyl-tRNA hydrolase 2, mitochondrial-like [Orbicella faveolata]"
"XP_020622444.1","acyl-CoA dehydrogenase family member 10-like [Orbicella faveolata]"
"XP_020622445.1","replication factor C subunit 2-like [Orbicella faveolata]"
"XP_020622454.1","UPF0160 protein MYG1, mitochondrial-like [Orbicella faveolata]"
"XP_020622455.1","uncharacterized protein LOC110060049 [Orbicella faveolata]"
"XP_020622456.1","ectin-like [Orbicella faveolata]"
"XP_020622462.1","organic cation transporter protein-like [Orbicella faveolata]"
"XP_020622464.1","transducin beta-like protein 2 isoform X1 [Orbicella faveolata]"
"XP_020622465.1","transducin beta-like protein 2 isoform X2 [Orbicella faveolata]"
"XP_020622467.1","sterile alpha motif domain-containing protein 15-like isoform X1 [Orbicella faveolata]"
"XP_020622472.1","40S ribosomal protein S20-like [Orbicella faveolata]"
"XP_020622475.1","ubiquitin carboxyl-terminal hydrolase 14-like [Orbicella faveolata]"
"XP_020622479.1","uncharacterized protein LOC110060070 isoform X1 [Orbicella faveolata]"
"XP_020622493.1","coronin-6-like [Orbicella faveolata]"
"XP_020622494.1","alpha-actinin-like [Orbicella faveolata]"
"XP_020622502.1","neurogenic locus notch homolog protein 2-like [Orbicella faveolata]"
"XP_020622503.1","sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like [Orbicella faveolata]"
"XP_020622507.1","uncharacterized protein LOC110060099 [Orbicella faveolata]"
"XP_020622510.1","kelch-like protein 3 [Orbicella faveolata]"
"XP_020622512.1","alpha-(1,6)-fucosyltransferase-like [Orbicella faveolata]"
"XP_020622513.1","UDP-glucuronosyltransferase 1-5-like isoform X1 [Orbicella faveolata]"
"XP_020622515.1","UDP-glucuronosyltransferase 1-5-like [Orbicella faveolata]"
"XP_020622518.1","uncharacterized protein LOC110060110 [Orbicella faveolata]"
"XP_020622519.1","protein max-like isoform X1 [Orbicella faveolata]"
"XP_020622522.1","LOW QUALITY PROTEIN: serine/threonine-protein phosphatase 5-like [Orbicella faveolata]"
"XP_020622527.1","UDP-glucuronosyltransferase 2B20-like, partial [Orbicella faveolata]"
"XP_020622530.1","ras GTPase-activating protein 1-like [Orbicella faveolata]"
"XP_020622545.1","golgin subfamily B member 1-like [Orbicella faveolata]"
"XP_020622546.1","26S proteasome non-ATPase regulatory subunit 11-like [Orbicella faveolata]"
"XP_020622574.1","poly(A)-specific ribonuclease PARN-like [Orbicella faveolata]"
"XP_020622576.1","thioredoxin-related transmembrane protein 1-like [Orbicella faveolata]"
"XP_020622581.1","lysine--tRNA ligase-like [Orbicella faveolata]"
"XP_020622587.1","probable serine/threonine-protein kinase DDB_G0271682 [Orbicella faveolata]"
"XP_020622588.1","centrosomal protein of 290 kDa-like [Orbicella faveolata]"
"XP_020622589.1","actin-related protein 2-like [Orbicella faveolata]"
"XP_020622601.1","apoptotic chromatin condensation inducer in the nucleus-like isoform X1 [Orbicella faveolata]"
"XP_020622605.1","collagen triple helix repeat-containing protein 1-like [Orbicella faveolata]"
"XP_020622606.1","uncharacterized protein LOC110060191 isoform X1 [Orbicella faveolata]"
"XP_020622615.1","purine nucleoside phosphorylase-like [Orbicella faveolata]"
"XP_020622626.1","intraflagellar transport protein 56-like isoform X1 [Orbicella faveolata]"
"XP_020622628.1","intraflagellar transport protein 56-like isoform X2 [Orbicella faveolata]"
"XP_020622629.1","actin-related protein 2/3 complex subunit 1A-like [Orbicella faveolata]"
"XP_020622630.1","ketimine reductase mu-crystallin-like [Orbicella faveolata]"
"XP_020622634.1","uncharacterized protein LOC110060227 [Orbicella faveolata]"
"XP_020622636.1","uncharacterized protein LOC110060230 [Orbicella faveolata]"
"XP_020622639.1","short-chain collagen C4-like [Orbicella faveolata]"
"XP_020622649.1","uncharacterized protein LOC110060237 [Orbicella faveolata]"
"XP_020622652.1","BTB/POZ domain-containing protein 6-like [Orbicella faveolata]"
